temperature,humidity,pir,ultrasonic_distance,distance_change,entry_exit_event,mq135_raw,mq135_change,gas_rise_streak,true_occupancy
33.64,42.58,1,202.46,32.77,NONE,1587.38,3.32,2,1
25.25,55.43,0,117.01,2.54,NONE,1537.11,-36.99,2,0
22.25,46.96,0,253.27,0.71,NONE,1398.19,20.54,13,1
31.16,50.95,0,218.06,-0.55,NONE,1297.42,-1.57,8,1
29.62,91.59,0,203.82,1.7,NONE,1145.28,13.55,4,1
27.25,76.0,0,220.99,76.24,EXIT,1108.17,-5.57,2,0
26.56,59.76,0,205.07,-0.6,NONE,1335.04,-41.0,1,0
28.75,55.24,1,201.36,-6.18,NONE,1308.01,-24.37,3,1
31.69,46.2,0,179.85,0.55,NONE,1402.56,12.88,8,1
27.26,57.32,0,191.78,6.83,NONE,1366.25,7.67,0,0
22.96,58.69,0,93.26,8.99,NONE,1473.56,17.05,3,0
33.78,52.42,0,159.3,-52.99,ENTER,1452.74,-1.65,5,0
28.89,64.76,0,147.6,3.77,NONE,1496.84,-8.46,4,0
30.49,81.19,0,241.16,3.56,NONE,1424.58,19.81,10,1
30.31,72.8,0,197.83,15.03,NONE,1687.05,1.63,2,1
29.92,64.84,0,217.94,10.72,NONE,1402.72,-5.81,10,1
26.85,65.64,1,238.77,-33.02,NONE,1914.98,26.13,8,1
25.63,60.38,0,110.01,-1.5,NONE,1691.76,-23.82,3,0
32.09,65.88,0,222.16,-87.54,NONE,1261.53,14.18,1,1
32.25,50.55,0,172.68,-14.03,NONE,1448.66,1.69,0,0
27.97,73.12,0,199.66,34.0,EXIT,1166.3,-2.43,0,0
28.05,75.8,0,174.16,-17.74,NONE,1462.93,18.79,2,0
25.1,67.51,0,131.9,-1.03,NONE,1230.67,-21.33,0,0
27.95,50.68,1,162.2,-42.19,NONE,1707.92,30.31,8,1
27.71,66.08,0,164.87,3.15,NONE,1740.4,2.55,6,1
34.27,36.54,1,167.93,20.22,NONE,1381.61,-0.43,2,1
33.98,66.47,0,178.19,5.68,NONE,1595.29,-13.48,8,1
30.96,70.07,0,255.64,11.6,NONE,1439.79,-8.95,5,1
32.0,72.66,0,216.13,-2.81,NONE,1105.25,-23.73,0,0
32.8,82.53,1,189.1,30.46,NONE,1205.1,29.4,8,1
28.69,69.61,0,215.6,6.48,NONE,1382.57,-13.61,5,0
27.12,89.56,1,200.8,-29.11,NONE,1072.8,17.28,0,0
32.4,55.1,1,243.62,-3.86,NONE,1412.28,5.8,5,1
29.58,54.62,0,190.89,5.62,NONE,1221.86,25.21,11,1
34.33,71.14,1,169.87,6.17,NONE,1099.32,-7.54,0,0
28.33,50.85,0,342.34,1.39,NONE,1287.65,20.66,0,0
30.09,75.9,0,144.8,-25.89,NONE,1415.61,-13.65,4,1
22.84,44.16,0,172.09,29.27,EXIT,1921.94,-19.24,3,1
24.27,70.52,0,196.31,-42.07,ENTER,1673.92,-17.22,4,0
28.8,55.72,0,181.52,-8.58,NONE,1835.22,45.7,11,1
32.82,63.96,0,215.96,17.26,NONE,1193.78,12.81,5,1
25.53,76.51,0,118.45,-7.83,NONE,1423.72,35.12,0,0
30.34,48.01,0,183.16,9.25,NONE,1151.54,-29.38,0,0
31.39,51.81,0,201.78,-11.22,NONE,1559.3,-9.09,6,1
25.71,75.45,0,225.47,5.06,NONE,1448.34,-18.41,0,0
32.78,61.21,1,193.81,10.97,NONE,1151.18,7.47,3,0
23.22,34.45,1,173.31,73.8,EXIT,1369.95,20.21,0,1
27.26,63.66,1,20.0,43.31,NONE,1452.53,24.73,2,1
37.07,64.6,0,226.89,22.09,NONE,1396.44,0.41,7,1
29.98,42.79,0,200.45,-3.82,NONE,1682.46,-6.59,5,0
23.81,80.94,1,180.43,-20.26,NONE,1404.41,0.83,1,1
23.77,64.3,1,272.96,-75.36,NONE,1398.89,26.72,6,1
25.71,77.8,0,229.59,14.98,NONE,1166.93,21.34,0,0
20.53,78.65,0,226.41,-10.12,NONE,1291.23,-9.33,1,0
25.78,70.95,1,237.28,4.09,NONE,929.8,31.71,0,0
31.16,70.95,1,260.02,4.46,NONE,1148.05,-6.36,0,0
28.33,69.99,0,242.34,25.01,NONE,1555.34,-22.62,0,0
36.25,51.75,0,146.06,4.39,NONE,1179.55,22.26,3,1
25.01,69.28,1,133.84,-44.86,ENTER,1869.65,3.01,4,1
21.48,67.92,1,246.28,-25.56,NONE,1448.46,-19.48,2,0
34.4,67.05,1,192.44,38.74,NONE,1721.05,6.66,4,1
30.63,54.45,0,157.55,-1.68,NONE,1647.9,-7.28,4,0
23.69,62.93,0,143.46,-3.87,NONE,1059.65,-35.51,0,0
29.71,82.08,0,265.98,-9.01,NONE,855.0,16.36,0,0
31.06,60.68,0,234.78,3.82,NONE,1204.38,7.15,1,0
25.86,53.71,0,186.27,-1.46,NONE,1643.85,1.22,14,1
23.5,57.92,1,245.49,28.49,EXIT,1366.49,-3.15,5,1
32.92,49.92,0,207.01,-9.34,NONE,1495.63,6.48,1,0
29.62,68.83,0,249.02,7.2,NONE,1164.2,8.3,5,1
21.66,81.14,0,200.89,-36.09,ENTER,1522.39,-42.45,1,0
24.92,67.38,0,310.94,6.61,NONE,1378.53,-7.59,3,0
30.17,56.9,0,236.98,18.32,NONE,1232.9,14.81,5,1
23.72,59.56,1,178.32,31.35,NONE,1437.04,-28.16,4,1
28.73,55.14,1,201.4,5.05,NONE,1085.7,35.59,2,1
32.0,69.49,1,146.75,20.63,NONE,1289.13,21.42,7,1
25.78,80.06,0,176.31,5.65,NONE,1384.74,17.56,2,0
20.33,77.57,0,249.25,-11.84,NONE,1399.8,-12.25,5,0
32.92,66.27,0,206.76,-1.08,NONE,1354.17,16.66,9,1
33.86,54.83,1,305.91,6.37,NONE,1645.93,10.06,0,0
29.1,68.0,0,213.93,2.14,NONE,1494.82,-19.05,1,0
30.62,49.74,0,282.75,5.06,NONE,1532.74,6.74,0,0
31.23,66.64,1,203.21,-10.4,NONE,1370.57,-3.14,8,1
26.47,61.6,0,210.02,-48.52,NONE,1231.69,3.59,3,1
31.34,72.21,1,180.51,4.31,NONE,1464.48,-2.43,1,0
29.7,49.53,0,223.94,-2.59,NONE,1916.92,9.41,10,1
37.88,60.09,1,212.07,-14.09,NONE,1584.41,14.39,2,1
27.78,70.87,0,213.46,-6.51,NONE,1802.7,0.3,4,1
26.38,53.21,0,256.7,33.76,EXIT,1297.22,-34.5,1,0
20.66,82.7,0,220.06,2.66,NONE,1315.77,-12.7,11,1
33.49,52.18,0,292.65,-4.16,NONE,1034.91,-17.27,0,0
35.64,85.31,1,180.61,-15.34,NONE,1163.75,-15.78,0,0
26.42,38.06,0,190.86,9.44,NONE,1179.37,-1.88,4,0
26.17,63.77,1,209.92,15.01,NONE,1300.11,-13.67,2,0
25.35,64.26,0,163.36,1.49,NONE,1468.38,0.59,0,0
30.06,65.52,0,211.5,3.77,NONE,965.84,-13.58,0,0
27.05,67.04,0,191.7,5.4,NONE,1604.57,-3.85,14,1
32.06,47.11,0,216.8,5.54,NONE,1548.17,7.23,0,0
27.57,67.59,0,137.74,-6.82,NONE,1277.94,-12.05,5,0
24.34,36.61,0,214.14,-15.03,NONE,1513.28,21.57,6,1
30.81,57.61,1,74.3,5.48,NONE,1085.37,36.76,3,0
18.19,78.69,1,196.0,-4.29,NONE,1284.83,11.92,1,1
31.96,62.87,0,216.31,3.19,NONE,1597.38,-0.91,0,0
31.54,55.42,0,145.96,1.76,NONE,1313.25,-16.87,1,0
30.82,57.32,1,227.88,-7.91,NONE,1471.88,-31.44,4,0
30.93,53.65,1,293.41,-16.81,NONE,1339.15,21.64,1,0
21.47,64.67,0,261.21,-4.99,NONE,1757.23,44.6,4,1
25.94,52.3,0,216.47,11.91,NONE,895.37,18.19,6,1
32.68,66.63,0,207.15,3.25,NONE,1433.67,9.59,5,0
25.79,57.5,0,206.1,-33.46,NONE,1483.72,6.13,2,1
29.1,58.39,0,167.43,29.22,NONE,1487.62,-24.21,0,0
30.35,48.16,1,181.83,-22.98,ENTER,1145.59,15.24,4,1
33.96,94.21,0,194.2,-8.27,NONE,1561.86,3.01,5,0
22.9,48.76,1,217.14,-1.51,NONE,1487.16,-7.75,3,1
35.36,67.14,0,142.0,-5.95,NONE,821.01,11.05,5,0
29.69,68.13,0,305.81,-0.77,NONE,1243.95,30.28,6,1
32.45,63.67,1,258.87,-6.65,NONE,1692.4,-21.47,0,0
30.73,68.71,0,163.58,66.77,EXIT,1375.38,-1.39,1,0
28.41,54.71,0,239.48,12.14,NONE,1536.66,5.43,3,0
34.6,68.65,1,109.73,-5.88,NONE,1188.19,10.4,6,1
35.78,84.77,1,128.1,9.78,NONE,1033.74,-1.29,4,0
24.55,83.24,0,115.88,1.2,NONE,1195.69,37.84,9,1
29.45,62.55,0,186.24,10.27,NONE,1264.46,0.24,0,0
32.14,63.99,1,115.12,-78.76,ENTER,1318.14,5.19,1,1
33.82,54.51,0,149.98,5.2,NONE,1570.11,3.7,2,0
28.55,46.41,0,222.28,-0.51,NONE,1721.28,42.59,9,1
31.07,55.19,0,150.7,-18.21,NONE,1462.51,-21.74,3,0
25.37,64.13,0,183.81,-0.87,NONE,1170.86,3.24,5,1
33.33,59.85,0,212.58,0.34,NONE,1325.29,-21.96,5,1
35.66,67.81,1,152.92,-56.52,ENTER,1194.23,4.63,1,1
30.33,63.7,0,234.81,13.5,NONE,1099.32,-2.19,0,0
30.35,48.28,0,243.04,6.64,NONE,1318.74,16.53,4,1
21.26,52.82,0,119.34,-15.02,NONE,1152.63,16.93,4,1
28.76,64.66,0,124.84,12.39,NONE,1516.03,4.83,10,1
29.81,68.51,0,119.98,11.54,NONE,1159.81,48.64,4,0
30.47,60.99,0,188.26,5.27,NONE,1167.53,14.57,0,0
26.81,62.5,1,252.9,9.6,NONE,1368.08,3.01,0,0
24.53,51.21,1,131.63,-3.87,NONE,1597.82,17.42,3,0
27.63,62.02,0,180.94,15.95,NONE,1678.2,18.14,0,0
27.23,72.82,0,293.26,10.77,NONE,1667.46,-8.72,1,0
36.56,70.19,1,216.96,18.8,NONE,1081.87,48.7,10,1
18.68,68.16,0,139.03,-18.21,NONE,1411.79,9.14,0,0
33.33,84.51,0,321.48,-21.38,ENTER,1207.1,-18.74,1,0
21.04,48.87,0,145.29,14.11,NONE,1349.37,-34.05,2,0
26.53,89.11,1,165.14,71.31,NONE,1256.27,16.84,2,1
32.8,71.03,1,248.37,-5.21,NONE,1123.99,21.47,3,0
27.35,72.96,0,200.21,5.48,NONE,1457.38,-14.07,1,0
28.66,57.6,0,244.49,-79.56,ENTER,1323.78,31.06,5,0
35.56,68.64,1,183.98,12.03,NONE,1334.6,-36.18,5,1
27.22,76.18,0,189.31,-10.74,NONE,890.74,30.57,3,0
21.38,47.35,0,244.23,11.49,NONE,1449.57,7.36,0,0
39.99,50.99,1,157.83,12.08,NONE,1144.52,17.84,2,1
26.84,55.99,1,259.71,-23.84,NONE,1741.36,33.09,4,1
23.7,58.52,1,190.17,-2.86,NONE,1367.91,-4.99,3,0
24.61,79.05,0,96.03,-99.71,ENTER,1578.63,37.5,0,1
34.31,69.73,0,165.02,2.73,NONE,1117.97,38.04,13,1
27.87,63.18,0,216.54,4.88,NONE,1469.07,20.37,7,1
26.82,73.18,0,140.1,37.59,EXIT,1042.97,2.14,1,0
34.11,69.84,0,215.67,3.93,NONE,1231.85,-11.09,12,1
22.41,69.26,0,180.39,-8.58,NONE,1161.88,-22.89,1,0
31.23,65.89,0,146.01,10.59,NONE,1725.91,17.17,4,1
24.48,66.27,0,208.85,8.3,NONE,1195.11,-31.85,0,0
25.66,79.09,0,188.62,2.6,NONE,1629.62,-40.13,5,1
29.32,64.01,1,188.72,2.26,NONE,1201.33,18.69,0,0
22.89,64.15,0,178.13,-13.36,NONE,1211.45,7.71,0,0
27.09,42.37,0,288.8,-14.31,NONE,1099.9,19.82,0,0
21.8,64.21,1,151.99,-7.8,NONE,1242.75,10.94,7,1
25.54,55.62,1,197.76,-17.87,NONE,1279.56,-24.7,2,1
39.53,49.4,0,188.35,-19.46,NONE,1098.45,32.34,4,1
26.87,51.19,1,183.78,0.57,NONE,1722.84,7.2,6,1
26.34,70.1,1,199.69,35.22,NONE,1603.51,6.3,5,1
28.93,59.84,0,209.8,26.66,NONE,1208.92,-2.29,2,0
31.3,60.48,1,224.28,2.78,NONE,964.88,5.74,5,0
31.66,53.69,1,221.26,-23.27,NONE,1059.89,19.49,4,1
33.22,51.86,0,207.14,-4.69,NONE,1246.2,16.56,0,0
24.88,49.48,1,227.45,-8.36,NONE,1540.55,24.5,4,1
25.08,62.4,0,176.2,-3.89,NONE,1158.41,0.89,2,1
31.0,51.46,0,220.55,-11.84,NONE,1424.95,-5.86,4,1
27.21,49.94,1,210.01,37.99,EXIT,1093.41,-7.45,4,0
26.97,59.84,1,196.31,18.4,NONE,1289.97,-42.79,3,1
33.09,73.03,0,257.14,-4.01,NONE,1431.51,-32.44,5,0
23.09,53.2,0,247.48,-8.55,NONE,1362.24,-20.97,3,0
25.45,71.26,0,202.34,2.86,NONE,1538.18,-1.67,1,0
34.26,82.98,1,196.63,-1.89,NONE,1139.35,41.63,8,1
28.32,58.46,1,157.7,6.75,NONE,1855.45,10.25,5,1
31.66,61.01,0,276.55,4.48,NONE,1236.48,13.4,0,0
30.96,68.57,0,234.2,0.59,NONE,1353.71,-23.07,1,0
27.79,81.11,1,201.09,30.18,NONE,1528.04,2.31,6,1
30.61,60.47,0,205.93,-1.26,NONE,1244.41,-13.13,0,0
30.02,75.27,0,193.73,0.14,NONE,1600.85,6.83,0,0
29.86,64.64,1,208.76,20.06,NONE,1118.28,-4.18,1,1
25.3,74.02,0,181.8,-17.23,NONE,1488.36,4.61,1,0
28.95,72.38,1,278.63,0.65,NONE,1204.75,-10.36,0,0
31.4,78.76,1,229.98,-24.97,NONE,1373.02,56.06,9,1
28.43,61.09,0,320.97,-6.89,NONE,1169.37,52.19,1,0
31.46,67.34,0,160.24,17.7,NONE,1397.38,-7.22,3,0
26.72,60.51,0,210.47,-4.59,NONE,1477.77,4.81,0,0
27.9,77.98,0,130.68,-9.31,NONE,1156.39,7.07,13,1
27.21,50.28,1,159.5,11.73,NONE,1776.76,19.53,4,1
32.15,80.35,0,209.04,4.49,NONE,1701.83,18.25,7,1
29.94,47.52,0,193.82,-0.62,NONE,1861.92,1.69,7,1
33.55,48.19,0,193.98,40.42,NONE,1367.89,8.01,8,1
30.66,55.66,1,149.28,6.78,NONE,2040.39,60.18,1,1
29.93,72.82,0,106.84,-76.93,ENTER,1632.66,38.4,5,1
29.81,66.51,0,100.49,-74.67,ENTER,1492.35,6.18,0,1
32.73,40.87,0,198.28,-9.62,NONE,1081.42,2.62,2,0
33.01,41.48,0,236.98,38.65,EXIT,1328.39,4.23,0,0
30.82,58.78,1,58.77,-8.39,ENTER,1626.6,31.56,2,1
24.75,36.77,1,156.77,-1.22,NONE,1345.51,8.97,5,0
28.12,66.39,0,255.23,10.48,ENTER,1325.17,-13.05,5,0
31.14,61.99,1,85.45,4.65,NONE,1415.34,32.3,8,1
26.99,60.19,0,147.81,4.96,NONE,1364.32,-19.58,10,1
29.02,71.63,0,114.09,6.58,NONE,952.72,-27.6,2,0
36.6,37.87,0,126.69,-20.4,NONE,1468.92,11.84,1,1
40.0,49.12,0,305.43,6.71,NONE,1684.21,3.13,1,0
29.67,58.4,0,224.44,1.35,NONE,1424.82,-12.91,0,0
30.09,67.01,0,235.93,-6.68,NONE,982.39,19.98,6,1
27.53,77.73,0,160.55,0.31,NONE,1734.71,-9.74,3,1
30.9,52.38,0,196.43,-13.32,NONE,1425.36,1.1,0,0
27.9,48.53,0,179.3,8.87,NONE,1540.74,10.7,9,1
25.1,67.22,1,190.46,-37.49,NONE,1577.82,10.22,7,1
29.14,64.01,0,220.95,5.17,NONE,1272.69,9.23,4,1
20.25,46.66,0,220.08,-2.38,NONE,1480.39,20.33,5,1
24.71,57.2,1,146.95,-32.54,NONE,1148.75,27.38,9,1
30.25,51.78,0,95.43,-68.36,ENTER,1691.83,17.69,3,1
28.32,33.13,0,167.63,-6.69,NONE,1491.34,9.53,6,1
27.23,63.33,0,256.21,-3.43,NONE,1326.15,16.62,7,1
27.41,53.99,0,267.65,3.82,EXIT,1684.3,-17.15,1,0
25.97,43.8,1,140.96,8.98,NONE,1332.84,-24.33,1,0
24.79,34.84,0,215.12,0.69,NONE,1070.57,-0.57,10,1
28.28,60.68,1,248.47,-39.81,NONE,1341.5,18.6,9,1
33.5,69.79,1,207.3,-9.77,NONE,1618.26,-25.64,4,1
22.15,48.85,1,170.96,1.26,NONE,1274.1,2.04,0,0
21.76,64.42,1,172.06,59.42,EXIT,1131.95,7.52,4,1
32.07,64.21,0,169.81,6.16,NONE,1088.48,-3.75,4,1
30.91,52.27,0,214.48,4.06,NONE,1554.74,10.28,7,1
34.27,83.27,0,166.98,-23.77,NONE,1388.91,-14.86,1,1
25.13,27.62,1,232.97,-18.05,NONE,1206.28,7.8,3,0
28.66,39.48,0,255.51,-1.32,NONE,1490.67,17.09,6,1
31.42,57.96,0,143.71,122.97,EXIT,1889.37,-8.53,0,1
31.57,42.52,1,183.16,-20.64,NONE,919.16,1.71,1,1
29.58,62.91,1,217.37,25.75,NONE,1418.29,13.79,0,1
27.67,62.35,0,190.54,-6.93,NONE,1201.11,6.19,0,0
20.26,65.28,0,89.25,-8.71,NONE,1658.63,-18.82,1,0
28.58,65.54,0,214.48,-6.5,NONE,1460.13,24.97,11,1
26.1,65.25,1,80.9,5.3,ENTER,1132.96,20.02,0,1
23.17,84.39,0,212.88,-9.72,NONE,798.95,-5.64,0,0
26.93,57.98,0,132.52,1.32,NONE,1291.36,9.08,9,1
31.04,61.62,1,192.75,-8.47,NONE,1621.91,20.78,3,0
27.43,64.54,0,250.19,6.15,NONE,1130.63,9.86,0,0
29.03,68.13,0,206.39,0.41,NONE,1054.47,0.19,11,1
32.79,59.09,0,182.14,-1.52,NONE,1339.8,11.51,3,0
32.32,48.12,0,175.34,-14.87,NONE,1412.26,-0.85,10,1
24.19,74.16,1,247.68,50.01,NONE,1966.83,28.79,2,1
25.5,67.23,0,175.69,-50.1,ENTER,1538.96,-17.33,2,0
34.91,62.41,1,193.18,41.56,NONE,1331.19,40.22,2,1
32.88,77.55,0,218.67,-12.8,NONE,1136.54,14.5,0,0
29.2,70.67,1,192.66,22.42,NONE,1123.21,13.58,0,0
35.95,70.87,0,158.77,95.05,EXIT,1348.17,-13.84,5,1
31.98,63.4,0,223.42,3.85,NONE,1196.17,0.74,5,0
30.11,50.7,1,137.85,18.45,NONE,1670.24,4.37,4,1
34.99,84.42,0,211.29,7.65,NONE,1360.63,9.92,5,1
35.4,56.77,0,164.23,-1.84,NONE,1221.51,0.13,14,1
29.43,46.22,0,206.07,1.47,NONE,925.3,-27.7,4,0
30.67,76.01,0,171.37,2.85,NONE,1202.89,8.92,1,0
23.52,63.06,0,237.63,-28.06,NONE,1168.86,0.14,2,1
30.09,44.19,0,216.76,-9.25,NONE,1559.03,-16.39,0,0
25.81,65.51,0,204.87,-0.79,NONE,1500.47,-29.41,0,0
25.76,48.01,0,140.1,-59.52,ENTER,1314.91,30.16,3,1
27.87,61.37,0,226.23,-2.95,NONE,851.3,-10.27,1,0
32.07,74.38,0,179.31,-19.43,NONE,1027.88,-1.08,0,0
25.86,47.59,1,180.26,18.79,NONE,1025.09,23.23,3,0
26.4,54.54,0,217.56,14.93,NONE,1358.2,-12.01,8,1
31.94,37.07,0,223.49,23.08,NONE,871.22,13.43,3,0
30.58,63.69,0,105.1,-11.06,NONE,1345.29,15.14,13,1
28.15,66.15,0,230.28,-4.21,NONE,1266.11,50.98,1,0
29.23,55.73,0,189.31,-37.1,ENTER,1031.44,-18.12,2,0
35.13,76.55,1,156.72,-48.48,NONE,1319.49,11.07,6,1
31.63,60.33,1,250.14,-65.45,NONE,1385.41,31.52,4,1
27.25,79.95,0,123.75,44.4,NONE,1530.81,32.87,6,1
26.4,52.86,0,212.72,5.52,NONE,500.0,-25.21,3,1
29.27,82.41,0,142.17,15.53,NONE,1461.37,15.61,2,1
28.93,57.18,1,201.69,-1.97,NONE,1411.09,18.76,2,0
30.48,58.67,0,168.09,1.26,NONE,1282.12,8.51,5,1
29.88,66.49,0,266.29,-8.81,NONE,745.84,-10.67,3,0
21.94,82.89,0,197.35,5.06,NONE,1321.23,-29.01,5,0
35.58,63.63,0,109.78,-10.57,NONE,913.51,-16.25,5,0
27.43,52.85,0,209.82,-9.36,NONE,1196.39,0.37,2,0
36.24,66.16,1,186.72,1.24,NONE,1210.78,9.33,9,1
26.47,65.13,0,90.58,2.39,NONE,1374.9,-12.27,0,0
33.28,64.57,0,200.05,14.66,NONE,1270.13,-1.77,4,1
33.74,61.45,1,96.52,-60.92,ENTER,1427.42,8.88,3,1
26.72,59.75,0,176.25,-2.99,NONE,1098.97,24.06,5,0
28.13,76.25,0,101.92,-9.9,NONE,833.02,-0.98,3,0
31.8,68.57,0,242.02,9.59,NONE,1029.92,-2.4,0,0
35.48,67.26,1,234.74,9.15,NONE,760.89,24.45,5,1
30.49,37.11,0,112.27,0.78,NONE,1291.68,30.62,10,1
28.94,60.89,1,187.32,-19.0,NONE,1434.99,37.09,2,1
26.74,91.29,0,154.58,0.76,NONE,1123.92,-19.06,0,0
29.36,76.51,1,230.51,-11.05,NONE,1188.82,37.1,6,1
18.0,49.6,0,218.75,-7.08,NONE,1110.57,-19.73,2,0
31.5,79.2,0,166.65,4.15,NONE,1231.12,-17.26,1,0
32.7,52.96,0,277.66,-4.13,NONE,971.46,-48.42,0,0
30.86,54.76,0,270.87,-8.21,NONE,1160.83,16.15,0,0
27.95,53.02,0,229.41,5.14,NONE,1663.09,12.94,10,1
28.22,59.21,1,164.78,-7.8,NONE,1187.75,61.77,0,0
31.19,84.42,0,212.03,-24.02,ENTER,1302.18,-0.42,0,0
26.3,56.42,0,162.75,4.41,NONE,1257.52,-11.7,0,0
29.92,79.91,1,224.48,37.68,NONE,1516.02,-3.66,6,1
25.27,71.2,0,193.57,4.96,NONE,1273.83,32.08,4,1
24.43,45.76,1,331.69,-14.24,NONE,1827.86,48.75,8,1
22.95,68.42,0,231.78,-35.29,ENTER,948.77,4.97,5,0
25.49,45.11,0,20.0,-13.12,NONE,1566.77,16.22,6,1
30.84,59.47,1,162.43,14.12,NONE,1909.14,-13.49,5,1
26.22,63.21,0,136.16,17.37,NONE,1494.17,30.71,9,1
32.13,57.4,1,87.05,-14.26,ENTER,1336.28,-6.71,0,1
33.08,86.26,1,278.72,-28.46,ENTER,1013.59,-44.86,4,0
28.52,79.26,1,199.63,-3.16,NONE,1332.64,-23.18,5,1
29.64,69.95,1,164.01,8.52,NONE,1115.16,20.21,5,0
27.59,61.87,1,203.73,31.67,NONE,1810.73,23.32,8,1
31.6,85.8,0,216.62,15.22,NONE,1179.56,12.33,3,0
28.3,82.57,0,264.09,1.68,NONE,1297.25,-33.82,2,0
26.43,52.1,0,189.78,2.5,NONE,1311.43,26.7,3,1
