timestamp,temperature,humidity,pir,ultrasonic_distance,distance_change,entry_exit_event,occupancy_count,mq135_raw,mq135_change,gas_rise_streak,current,power,energy_wh,fan_state,light_state
2026-08-24 07:58:28,31.1,67.0,0,220.13,19.2,NONE,1,1467.0,-32.0,0,0.75,9.0,0.0125,1,0
2026-08-24 07:58:33,34.5,77.8,1,248.89,28.77,NONE,1,1499.0,32.0,2,0.61,7.32,0.010167,1,0
2026-08-24 07:58:38,31.8,73.4,1,223.18,-25.72,NONE,1,1524.0,25.0,4,0.61,7.32,0.010167,1,0
2026-08-24 07:58:43,34.2,68.9,0,197.39,-25.79,NONE,1,1496.0,-28.0,0,0.44,5.28,0.007333,1,0
2026-08-24 07:58:48,30.6,68.8,0,168.5,-28.89,NONE,1,1510.0,14.0,4,0.67,8.04,0.011167,1,0
2026-08-24 07:58:53,33.3,69.1,0,218.95,50.45,NONE,1,1494.0,-16.0,0,0.43,5.16,0.007167,1,0
2026-08-24 07:58:58,33.3,54.9,1,204.67,-14.28,NONE,1,1508.0,14.0,5,0.77,9.24,0.012833,1,0
2026-08-24 07:59:03,33.7,77.1,0,200.73,-3.94,NONE,1,1492.0,-16.0,0,0.46,5.52,0.007667,1,0
2026-08-24 07:59:08,32.9,77.4,0,178.85,-21.88,NONE,1,1460.0,-32.0,0,0.66,7.92,0.011,1,0
2026-08-24 07:59:13,33.4,76.4,0,212.95,34.1,NONE,1,1447.0,-13.0,0,0.56,6.72,0.009333,1,0
2026-08-24 07:59:18,34.0,67.8,0,180.94,-32.01,NONE,1,1486.0,39.0,5,0.69,8.28,0.0115,1,0
2026-08-24 07:59:23,33.3,60.5,0,237.56,56.63,NONE,1,1447.0,-39.0,0,0.53,6.36,0.008833,1,0
2026-08-24 07:59:28,34.7,67.6,0,154.75,-82.82,NONE,1,1417.0,-30.0,0,0.53,6.36,0.008833,1,0
2026-08-24 07:59:33,35.0,58.5,0,162.48,7.73,NONE,1,1393.0,-24.0,0,0.7,8.4,0.011667,1,0
2026-08-24 07:59:38,34.8,73.5,0,157.61,-4.87,NONE,1,1428.0,35.0,3,0.66,7.92,0.011,1,0
2026-08-24 08:25:45,30.3,80.0,0,162.79,-87.21,NONE,0,1540.0,40.0,4,0.01,0.12,0.000167,0,0
2026-08-24 08:25:50,34.6,52.3,1,157.0,-5.79,NONE,0,1566.0,26.0,4,0.01,0.12,0.000167,0,0
2026-08-24 08:25:55,33.3,68.1,0,243.82,86.82,NONE,0,1584.0,18.0,2,0.03,0.36,0.0005,0,0
2026-08-24 08:26:00,31.1,64.7,1,218.37,-25.45,NONE,0,1595.0,11.0,1,0.01,0.12,0.000167,0,0
2026-08-24 08:26:05,32.9,76.2,0,210.18,-8.19,NONE,0,1571.0,-24.0,0,0.02,0.24,0.000333,0,0
2026-08-24 08:26:10,34.6,63.0,0,209.77,-0.41,NONE,0,1564.0,-7.0,0,0.03,0.36,0.0005,0,0
