current,power,occupancy_count,fan_state,light_state,energy_status
0.519,6.123,1,1,0,NORMAL
0.77,9.206,1,1,1,NORMAL
0.687,8.246,0,1,1,WASTAGE
0.027,0.328,0,0,0,NORMAL
0.004,0.082,1,0,0,LOW
0.782,9.466,1,1,1,NORMAL
1.011,12.031,0,1,1,WASTAGE
0.552,6.482,0,1,0,WASTAGE
0.625,7.467,0,1,0,WASTAGE
0.82,9.848,0,1,1,WASTAGE
0.016,0.254,0,0,0,NORMAL
0.013,0.213,0,0,0,NORMAL
0.684,8.125,0,1,1,WASTAGE
0.011,0.095,1,0,0,LOW
0.938,11.295,1,1,1,NORMAL
0.039,0.398,1,0,0,LOW
0.023,0.299,1,0,0,LOW
0.004,0.106,1,0,0,LOW
0.022,0.252,1,0,0,LOW
0.332,3.974,0,0,1,WASTAGE
0.024,0.303,0,0,0,NORMAL
0.305,3.589,0,0,1,WASTAGE
0.652,7.883,1,1,0,NORMAL
0.499,6.0,1,1,0,NORMAL
0.021,0.38,1,0,0,LOW
0.49,5.918,0,0,1,WASTAGE
0.011,0.216,0,0,0,NORMAL
0.466,5.549,1,1,0,NORMAL
0.546,6.523,1,1,0,NORMAL
0.015,0.155,1,0,0,LOW
0.028,0.409,0,0,0,NORMAL
0.538,6.365,0,0,1,WASTAGE
0.791,9.461,0,1,1,WASTAGE
0.032,0.392,0,0,0,NORMAL
0.001,0.059,1,0,0,LOW
0.484,5.734,0,1,0,WASTAGE
0.38,4.553,0,0,1,WASTAGE
0.998,12.007,0,1,1,WASTAGE
0.725,8.728,1,1,1,NORMAL
0.014,0.135,0,0,0,NORMAL
0.616,7.427,1,1,0,NORMAL
0.537,6.45,0,0,1,WASTAGE
0.787,9.521,0,1,1,WASTAGE
0.024,0.311,1,0,0,LOW
0.963,11.549,0,1,1,WASTAGE
0.652,7.9,0,1,0,WASTAGE
0.601,7.258,1,1,0,NORMAL
0.889,10.582,1,1,1,NORMAL
0.023,0.23,1,0,0,LOW
0.448,5.53,0,1,0,WASTAGE
0.008,0.048,1,0,0,LOW
0.026,0.279,0,0,0,NORMAL
0.323,3.848,0,0,1,WASTAGE
0.013,0.111,0,0,0,NORMAL
0.385,4.624,0,0,1,WASTAGE
0.687,8.212,0,1,0,WASTAGE
0.498,5.898,1,1,0,NORMAL
0.324,3.876,0,0,1,WASTAGE
0.635,7.632,1,1,1,NORMAL
0.0,0.047,0,0,0,NORMAL
0.528,6.32,0,0,1,WASTAGE
0.899,10.804,1,1,1,NORMAL
0.708,8.508,0,1,1,WASTAGE
0.275,3.248,0,0,1,WASTAGE
0.507,6.079,1,1,0,NORMAL
0.593,7.033,1,1,0,NORMAL
0.01,0.112,0,0,0,NORMAL
0.69,8.311,1,1,0,NORMAL
0.44,5.295,0,0,1,WASTAGE
0.015,0.22,0,0,0,NORMAL
0.589,6.999,1,1,0,NORMAL
0.324,3.819,0,0,1,WASTAGE
0.761,9.159,0,1,1,WASTAGE
0.662,7.939,0,1,0,WASTAGE
0.972,11.598,0,1,1,WASTAGE
0.0,0.013,0,0,0,NORMAL
0.969,11.626,0,1,1,WASTAGE
0.482,5.833,0,0,1,WASTAGE
0.522,6.411,0,0,1,WASTAGE
0.786,9.407,0,1,1,WASTAGE
0.995,12.103,0,1,1,WASTAGE
0.617,7.322,0,1,1,WASTAGE
0.649,7.851,0,1,1,WASTAGE
0.019,0.198,0,0,0,NORMAL
0.597,7.162,0,1,0,WASTAGE
0.638,7.745,1,1,0,NORMAL
0.712,8.506,0,1,0,WASTAGE
0.716,8.587,0,1,0,WASTAGE
0.939,11.255,0,1,1,WASTAGE
0.268,3.218,0,0,1,WASTAGE
0.404,4.838,0,1,0,WASTAGE
0.559,6.689,0,0,1,WASTAGE
0.573,6.895,0,1,0,WASTAGE
0.038,0.397,1,0,0,LOW
0.615,7.405,1,1,0,NORMAL
0.677,8.081,1,1,1,NORMAL
0.04,0.485,0,0,0,NORMAL
0.785,9.451,0,1,1,WASTAGE
0.02,0.258,1,0,0,LOW
0.873,10.432,0,1,1,WASTAGE
0.261,3.161,0,0,1,WASTAGE
0.69,8.315,0,1,1,WASTAGE
0.664,7.959,1,1,1,NORMAL
0.687,8.308,1,1,0,NORMAL
0.025,0.353,0,0,0,NORMAL
0.64,7.663,0,1,0,WASTAGE
0.544,6.589,0,1,0,WASTAGE
0.035,0.377,0,0,0,NORMAL
0.856,10.268,1,1,1,NORMAL
0.673,7.991,0,1,1,WASTAGE
0.833,9.96,0,1,1,WASTAGE
0.868,10.38,1,1,1,NORMAL
0.942,11.345,0,1,1,WASTAGE
0.01,0.033,0,0,0,NORMAL
0.68,8.323,1,1,1,NORMAL
0.525,6.306,0,1,0,WASTAGE
0.934,11.354,1,1,1,NORMAL
0.034,0.39,1,0,0,LOW
0.019,0.224,0,0,0,NORMAL
0.012,0.144,1,0,0,LOW
0.814,9.792,1,1,1,NORMAL
0.013,0.279,1,0,0,LOW
0.028,0.316,1,0,0,LOW
0.561,6.767,1,1,0,NORMAL
0.834,10.03,0,1,1,WASTAGE
0.694,8.193,0,1,0,WASTAGE
0.929,11.114,1,1,1,NORMAL
0.023,0.198,0,0,0,NORMAL
0.954,11.405,0,1,1,WASTAGE
0.682,8.107,1,1,1,NORMAL
0.462,5.487,0,1,0,WASTAGE
0.296,3.575,0,0,1,WASTAGE
0.01,0.12,0,0,0,NORMAL
0.004,0.096,0,0,0,NORMAL
0.492,5.937,0,0,1,WASTAGE
0.896,10.71,0,1,1,WASTAGE
0.502,5.931,1,1,0,NORMAL
0.033,0.397,1,0,0,LOW
0.002,0.0,1,0,0,LOW
1.01,12.072,0,1,1,WASTAGE
0.57,6.784,0,0,1,WASTAGE
0.916,11.01,0,1,1,WASTAGE
0.93,11.3,0,1,1,WASTAGE
0.284,3.516,0,0,1,WASTAGE
0.854,10.232,0,1,1,WASTAGE
0.804,9.616,1,1,1,NORMAL
0.983,11.825,0,1,1,WASTAGE
0.498,6.073,0,0,1,WASTAGE
0.523,6.303,0,0,1,WASTAGE
0.681,8.187,0,1,0,WASTAGE
0.608,7.449,0,1,1,WASTAGE
0.025,0.353,0,0,0,NORMAL
0.74,8.96,0,1,1,WASTAGE
0.029,0.391,1,0,0,LOW
0.039,0.422,0,0,0,NORMAL
0.555,6.665,0,0,1,WASTAGE
0.851,10.337,1,1,1,NORMAL
0.88,10.582,1,1,1,NORMAL
0.587,6.973,1,1,0,NORMAL
0.96,11.414,1,1,1,NORMAL
0.63,7.682,0,1,0,WASTAGE
0.792,9.615,0,1,1,WASTAGE
0.016,0.104,1,0,0,LOW
0.588,7.064,1,1,1,NORMAL
0.7,8.505,1,1,1,NORMAL
0.519,6.244,0,0,1,WASTAGE
0.017,0.256,1,0,0,LOW
0.699,8.321,0,1,0,WASTAGE
0.03,0.391,0,0,0,NORMAL
0.839,10.073,1,1,1,NORMAL
0.011,0.124,1,0,0,LOW
0.875,10.521,0,1,1,WASTAGE
0.032,0.371,0,0,0,NORMAL
0.766,9.219,0,1,1,WASTAGE
0.661,7.836,1,1,0,NORMAL
0.449,5.381,0,1,0,WASTAGE
0.495,6.02,1,1,0,NORMAL
0.553,6.578,0,0,1,WASTAGE
0.53,6.371,0,0,1,WASTAGE
0.663,7.917,0,1,1,WASTAGE
0.444,5.292,1,1,0,NORMAL
0.768,9.144,1,1,1,NORMAL
0.666,8.096,0,1,0,WASTAGE
0.036,0.376,1,0,0,LOW
0.324,3.839,0,0,1,WASTAGE
0.012,0.136,0,0,0,NORMAL
0.512,6.065,1,1,0,NORMAL
0.595,7.115,0,1,0,WASTAGE
0.546,6.506,0,0,1,WASTAGE
0.951,11.299,1,1,1,NORMAL
1.011,12.231,0,1,1,WASTAGE
0.737,8.941,0,1,0,WASTAGE
0.548,6.624,1,1,0,NORMAL
0.012,0.171,0,0,0,NORMAL
0.336,4.014,0,0,1,WASTAGE
0.031,0.35,1,0,0,LOW
0.024,0.378,0,0,0,NORMAL
0.398,4.798,0,1,0,WASTAGE
0.658,7.915,0,1,0,WASTAGE
0.005,0.092,0,0,0,NORMAL
0.835,9.949,1,1,1,NORMAL
0.481,5.817,1,1,0,NORMAL
0.468,5.619,1,1,0,NORMAL
0.721,8.665,0,1,0,WASTAGE
0.715,8.466,1,1,0,NORMAL
0.626,7.577,0,1,0,WASTAGE
0.448,5.372,0,1,0,WASTAGE
0.988,11.663,0,1,1,WASTAGE
0.024,0.336,0,0,0,NORMAL
0.024,0.228,0,0,0,NORMAL
0.736,8.983,0,1,0,WASTAGE
0.74,8.889,0,1,1,WASTAGE
0.661,7.915,1,1,0,NORMAL
0.011,0.342,0,0,0,NORMAL
0.005,0.083,0,0,0,NORMAL
0.444,5.232,1,1,0,NORMAL
0.527,6.315,1,1,0,NORMAL
0.754,9.197,1,1,1,NORMAL
0.47,5.594,0,0,1,WASTAGE
0.033,0.367,1,0,0,LOW
0.425,5.049,0,1,0,WASTAGE
0.047,0.481,0,0,0,NORMAL
0.027,0.336,1,0,0,LOW
0.029,0.244,1,0,0,LOW
0.408,4.864,0,1,0,WASTAGE
0.934,11.162,0,1,1,WASTAGE
0.01,0.053,0,0,0,NORMAL
0.683,8.123,1,1,1,NORMAL
0.631,7.53,1,1,1,NORMAL
0.623,7.355,1,1,1,NORMAL
0.98,11.753,0,1,1,WASTAGE
0.518,6.27,0,0,1,WASTAGE
0.039,0.376,1,0,0,LOW
0.666,8.049,0,1,0,WASTAGE
0.035,0.362,1,0,0,LOW
0.008,0.093,1,0,0,LOW
0.026,0.368,1,0,0,LOW
0.817,9.757,1,1,1,NORMAL
0.004,0.042,0,0,0,NORMAL
0.024,0.191,1,0,0,LOW
0.032,0.376,1,0,0,LOW
0.465,5.586,1,1,0,NORMAL
0.337,4.106,0,0,1,WASTAGE
0.025,0.397,1,0,0,LOW
0.028,0.387,1,0,0,LOW
0.812,9.762,0,1,1,WASTAGE
0.359,4.371,0,0,1,WASTAGE
0.544,6.512,1,1,0,NORMAL
0.769,9.277,1,1,1,NORMAL
0.322,3.79,0,0,1,WASTAGE
0.008,0.076,1,0,0,LOW
0.683,8.278,0,1,0,WASTAGE
0.511,6.07,1,1,0,NORMAL
0.785,9.449,0,1,1,WASTAGE
0.586,7.036,1,1,0,NORMAL
0.033,0.369,0,0,0,NORMAL
0.664,7.981,1,1,0,NORMAL
0.606,7.293,1,1,1,NORMAL
0.84,10.066,0,1,1,WASTAGE
0.583,6.877,0,0,1,WASTAGE
0.457,5.502,1,1,0,NORMAL
0.005,0.079,0,0,0,NORMAL
0.013,0.122,1,0,0,LOW
0.012,0.248,0,0,0,NORMAL
1.052,12.585,0,1,1,WASTAGE
0.868,10.483,0,1,1,WASTAGE
0.008,0.166,1,0,0,LOW
0.003,0.065,1,0,0,LOW
0.879,10.627,1,1,1,NORMAL
0.486,5.684,1,1,0,NORMAL
0.025,0.278,0,0,0,NORMAL
0.698,8.333,1,1,0,NORMAL
0.47,5.667,0,0,1,WASTAGE
0.507,6.034,0,1,0,WASTAGE
0.527,6.169,1,1,0,NORMAL
0.035,0.368,1,0,0,LOW
0.014,0.255,0,0,0,NORMAL
0.901,10.871,0,1,1,WASTAGE
1.064,12.74,0,1,1,WASTAGE
0.692,8.365,0,1,0,WASTAGE
0.371,4.382,0,0,1,WASTAGE
0.637,7.629,0,1,1,WASTAGE
0.631,7.553,0,1,0,WASTAGE
0.548,6.524,0,1,0,WASTAGE
0.0,0.055,1,0,0,LOW
0.624,7.486,0,1,0,WASTAGE
0.789,9.443,0,1,1,WASTAGE
0.433,5.185,1,1,0,NORMAL
0.007,0.06,0,0,0,NORMAL
0.564,6.896,0,1,0,WASTAGE
0.509,6.104,0,1,0,WASTAGE
0.011,0.139,0,0,0,NORMAL
0.968,11.545,1,1,1,NORMAL
0.264,3.211,0,0,1,WASTAGE
0.032,0.28,1,0,0,LOW
0.022,0.258,1,0,0,LOW
0.358,4.368,0,0,1,WASTAGE
0.019,0.305,1,0,0,LOW
0.668,8.026,0,1,0,WASTAGE
0.93,11.137,0,1,1,WASTAGE
1.07,12.84,0,1,1,WASTAGE
0.468,5.588,1,1,0,NORMAL
0.018,0.182,1,0,0,LOW
0.689,8.383,1,1,0,NORMAL
0.421,5.029,0,1,0,WASTAGE
0.664,7.998,1,1,1,NORMAL
0.045,0.472,0,0,0,NORMAL
0.009,0.03,1,0,0,LOW
0.008,0.135,0,0,0,NORMAL
0.59,7.091,1,1,0,NORMAL
0.034,0.364,1,0,0,LOW
0.599,7.121,0,1,0,WASTAGE
0.583,6.968,0,1,0,WASTAGE
0.737,8.918,0,1,1,WASTAGE
0.969,11.68,1,1,1,NORMAL
0.523,6.265,1,1,0,NORMAL
0.012,0.261,1,0,0,LOW
0.02,0.232,0,0,0,NORMAL
0.031,0.299,1,0,0,LOW
0.0,0.037,0,0,0,NORMAL
0.001,0.101,1,0,0,LOW
0.835,9.981,0,1,1,WASTAGE
0.682,8.193,1,1,0,NORMAL
0.012,0.098,1,0,0,LOW
0.003,0.16,1,0,0,LOW
0.0,0.011,0,0,0,NORMAL
0.015,0.158,1,0,0,LOW
0.535,6.438,1,1,0,NORMAL
0.417,5.04,1,1,0,NORMAL
0.029,0.385,1,0,0,LOW
0.544,6.532,1,1,0,NORMAL
0.402,4.835,0,0,1,WASTAGE
0.341,4.008,0,0,1,WASTAGE
0.001,0.044,0,0,0,NORMAL
0.018,0.181,1,0,0,LOW
0.343,4.107,0,0,1,WASTAGE
0.409,5.004,0,0,1,WASTAGE
0.013,0.201,0,0,0,NORMAL
0.747,8.994,0,1,0,WASTAGE
0.807,9.738,1,1,1,NORMAL
0.864,10.379,1,1,1,NORMAL
0.01,0.085,1,0,0,LOW
0.574,6.909,0,0,1,WASTAGE
0.415,5.001,1,1,0,NORMAL
0.559,6.603,1,1,0,NORMAL
0.003,0.055,1,0,0,LOW
0.755,9.055,1,1,1,NORMAL
0.002,0.006,1,0,0,LOW
0.272,3.294,0,0,1,WASTAGE
0.459,5.522,0,0,1,WASTAGE
0.406,4.951,0,1,0,WASTAGE
0.023,0.345,0,0,0,NORMAL
0.727,8.738,0,1,1,WASTAGE
0.75,8.97,1,1,1,NORMAL
0.486,5.968,0,0,1,WASTAGE
0.67,8.033,0,1,1,WASTAGE
0.0,0.004,0,0,0,NORMAL
0.764,9.195,1,1,1,NORMAL
1.045,12.594,0,1,1,WASTAGE
0.012,0.188,1,0,0,LOW
0.919,11.004,0,1,1,WASTAGE
0.625,7.609,1,1,0,NORMAL
0.007,0.03,1,0,0,LOW
0.634,7.689,0,1,0,WASTAGE
0.378,4.569,0,1,0,WASTAGE
0.552,6.689,1,1,0,NORMAL
0.03,0.363,0,0,0,NORMAL
0.6,7.239,0,1,0,WASTAGE
0.374,4.445,0,0,1,WASTAGE
1.07,12.83,0,1,1,WASTAGE
0.247,3.031,0,0,1,WASTAGE
1.038,12.421,0,1,1,WASTAGE
0.453,5.438,0,1,0,WASTAGE
0.648,7.808,1,1,0,NORMAL
0.008,0.092,1,0,0,LOW
0.689,8.283,1,1,0,NORMAL
0.47,5.731,0,0,1,WASTAGE
0.653,7.853,0,1,0,WASTAGE
0.02,0.254,1,0,0,LOW
0.029,0.29,1,0,0,LOW
0.71,8.486,0,1,1,WASTAGE
0.93,11.226,0,1,1,WASTAGE
0.993,11.808,1,1,1,NORMAL
0.778,9.432,0,1,1,WASTAGE
0.028,0.279,0,0,0,NORMAL
0.59,7.217,1,1,1,NORMAL
0.024,0.277,1,0,0,LOW
0.021,0.276,1,0,0,LOW
0.018,0.057,0,0,0,NORMAL
0.044,0.447,0,0,0,NORMAL
0.778,9.442,0,1,1,WASTAGE
0.693,8.415,0,1,0,WASTAGE
0.259,3.123,0,0,1,WASTAGE
0.0,0.01,0,0,0,NORMAL
0.753,9.059,1,1,1,NORMAL
0.006,0.078,0,0,0,NORMAL
0.021,0.338,1,0,0,LOW
1.072,12.951,0,1,1,WASTAGE
0.607,7.27,1,1,0,NORMAL
0.02,0.28,0,0,0,NORMAL
0.607,7.278,0,1,1,WASTAGE
0.035,0.365,0,0,0,NORMAL
0.636,7.709,0,1,1,WASTAGE
0.939,11.356,1,1,1,NORMAL
0.53,6.297,1,1,0,NORMAL
0.004,0.093,0,0,0,NORMAL
0.748,8.937,0,1,0,WASTAGE
0.436,5.236,0,0,1,WASTAGE
0.681,8.152,0,1,0,WASTAGE
0.877,10.55,1,1,1,NORMAL
0.017,0.285,0,0,0,NORMAL
0.983,11.789,1,1,1,NORMAL
0.747,9.04,1,1,1,NORMAL
0.015,0.179,1,0,0,LOW
0.021,0.198,0,0,0,NORMAL
0.997,11.904,0,1,1,WASTAGE
0.864,10.365,1,1,1,NORMAL
0.0,0.012,0,0,0,NORMAL
0.007,0.088,0,0,0,NORMAL
0.517,6.157,0,0,1,WASTAGE
0.612,7.457,0,1,1,WASTAGE
0.834,9.941,0,1,1,WASTAGE
0.273,3.329,0,0,1,WASTAGE
0.61,7.32,1,1,0,NORMAL
0.001,0.125,1,0,0,LOW
0.735,8.79,0,1,0,WASTAGE
0.974,11.63,0,1,1,WASTAGE
0.922,11.018,0,1,1,WASTAGE
0.599,7.194,1,1,0,NORMAL
0.719,8.775,1,1,1,NORMAL
0.662,7.984,0,1,0,WASTAGE
0.032,0.445,0,0,0,NORMAL
0.337,4.016,0,0,1,WASTAGE
0.468,5.601,1,1,0,NORMAL
0.985,11.88,0,1,1,WASTAGE
0.003,0.031,1,0,0,LOW
0.012,0.157,1,0,0,LOW
0.601,7.14,1,1,0,NORMAL
0.792,9.486,1,1,1,NORMAL
0.006,0.058,0,0,0,NORMAL
0.935,11.259,0,1,1,WASTAGE
0.618,7.371,1,1,0,NORMAL
0.762,9.127,1,1,1,NORMAL
0.866,10.393,1,1,1,NORMAL
0.535,6.389,1,1,0,NORMAL
0.025,0.263,0,0,0,NORMAL
0.028,0.256,0,0,0,NORMAL
0.03,0.419,0,0,0,NORMAL
0.888,10.643,1,1,1,NORMAL
0.004,0.062,0,0,0,NORMAL
0.65,7.818,1,1,0,NORMAL
0.92,11.136,1,1,1,NORMAL
0.6,7.304,0,1,1,WASTAGE
0.329,3.955,0,0,1,WASTAGE
0.63,7.573,1,1,0,NORMAL
0.929,11.143,1,1,1,NORMAL
0.043,0.494,0,0,0,NORMAL
0.004,0.021,1,0,0,LOW
0.512,6.187,0,1,0,WASTAGE
0.761,9.023,1,1,1,NORMAL
0.82,9.885,1,1,1,NORMAL
0.616,7.305,0,1,0,WASTAGE
0.533,6.377,1,1,0,NORMAL
0.006,0.018,0,0,0,NORMAL
0.266,3.214,0,0,1,WASTAGE
0.53,6.375,0,1,0,WASTAGE
0.963,11.545,1,1,1,NORMAL
0.63,7.647,1,1,0,NORMAL
1.053,12.531,0,1,1,WASTAGE
0.475,5.724,0,1,0,WASTAGE
0.774,9.349,1,1,1,NORMAL
0.891,10.715,0,1,1,WASTAGE
0.009,0.036,0,0,0,NORMAL
0.585,7.044,0,1,0,WASTAGE
0.728,8.669,1,1,1,NORMAL
0.03,0.36,0,0,0,NORMAL
0.428,5.117,0,1,0,WASTAGE
0.796,9.49,1,1,1,NORMAL
0.456,5.474,0,0,1,WASTAGE
0.633,7.628,1,1,1,NORMAL
0.014,0.092,1,0,0,LOW
0.006,0.064,1,0,0,LOW
0.471,5.616,0,0,1,WASTAGE
0.499,5.953,1,1,0,NORMAL
0.0,0.07,0,0,0,NORMAL
0.639,7.653,0,1,1,WASTAGE
0.012,0.122,1,0,0,LOW
0.914,10.877,1,1,1,NORMAL
0.622,7.56,1,1,0,NORMAL
0.018,0.18,1,0,0,LOW
0.509,6.032,0,0,1,WASTAGE
0.445,5.357,1,1,0,NORMAL
0.027,0.387,1,0,0,LOW
0.437,5.294,1,1,0,NORMAL
0.04,0.437,0,0,0,NORMAL
1.02,12.211,0,1,1,WASTAGE
0.514,6.149,0,1,0,WASTAGE
0.024,0.387,1,0,0,LOW
0.699,8.339,0,1,0,WASTAGE
0.037,0.496,0,0,0,NORMAL
0.978,11.64,1,1,1,NORMAL
0.506,6.052,0,0,1,WASTAGE
0.016,0.205,1,0,0,LOW
0.967,11.558,1,1,1,NORMAL
0.45,5.347,0,0,1,WASTAGE
0.008,0.022,1,0,0,LOW
0.616,7.596,1,1,0,NORMAL
0.811,9.771,0,1,1,WASTAGE
0.575,6.904,1,1,0,NORMAL
0.009,0.11,0,0,0,NORMAL
0.983,11.88,1,1,1,NORMAL
0.022,0.142,1,0,0,LOW
0.004,0.077,1,0,0,LOW
0.67,8.038,0,1,1,WASTAGE
0.687,8.263,1,1,0,NORMAL
0.55,6.656,0,1,0,WASTAGE
0.605,7.318,1,1,0,NORMAL
0.032,0.301,1,0,0,LOW
0.004,0.029,1,0,0,LOW
0.887,10.623,0,1,1,WASTAGE
0.693,8.352,0,1,0,WASTAGE
0.998,12.014,0,1,1,WASTAGE
0.978,11.755,1,1,1,NORMAL
0.985,11.756,0,1,1,WASTAGE
0.383,4.465,0,0,1,WASTAGE
0.535,6.493,0,0,1,WASTAGE
0.922,10.992,0,1,1,WASTAGE
0.021,0.186,1,0,0,LOW
1.022,12.206,0,1,1,WASTAGE
0.564,6.725,1,1,0,NORMAL
0.634,7.562,1,1,1,NORMAL
0.489,5.852,0,0,1,WASTAGE
0.039,0.455,0,0,0,NORMAL
0.593,7.133,0,1,1,WASTAGE
0.039,0.376,0,0,0,NORMAL
0.508,6.122,1,1,0,NORMAL
0.434,5.185,0,0,1,WASTAGE
0.708,8.414,0,1,0,WASTAGE
0.011,0.118,1,0,0,LOW
0.294,3.599,0,0,1,WASTAGE
0.742,8.916,1,1,1,NORMAL
0.912,10.887,0,1,1,WASTAGE
0.616,7.499,1,1,1,NORMAL
0.911,10.901,0,1,1,WASTAGE
0.297,3.427,0,0,1,WASTAGE
0.03,0.364,0,0,0,NORMAL
1.084,12.97,0,1,1,WASTAGE
0.411,5.034,1,1,0,NORMAL
0.012,0.211,1,0,0,LOW
0.407,4.915,0,0,1,WASTAGE
0.305,3.574,0,0,1,WASTAGE
0.265,3.197,0,0,1,WASTAGE
0.032,0.281,1,0,0,LOW
0.837,10.004,1,1,1,NORMAL
0.013,0.13,1,0,0,LOW
0.656,7.736,0,1,1,WASTAGE
0.614,7.317,1,1,0,NORMAL
0.547,6.52,0,1,0,WASTAGE
0.931,11.213,1,1,1,NORMAL
0.027,0.288,0,0,0,NORMAL
0.03,0.356,1,0,0,LOW
0.442,5.302,0,1,0,WASTAGE
0.025,0.367,1,0,0,LOW
0.019,0.23,0,0,0,NORMAL
0.037,0.478,0,0,0,NORMAL
1.036,12.435,0,1,1,WASTAGE
0.917,11.081,1,1,1,NORMAL
0.941,11.306,1,1,1,NORMAL
0.682,8.236,1,1,1,NORMAL
0.69,8.183,1,1,0,NORMAL
